"Kod"	"Överordnad kod"	"Titel"	"Alternativ titel"	"Beskrivning"	"Innefattar"	"Utesluter"	"Anmärkning"	"Bedömningsfaktor"
"d815"	"d810-d839"	"Att engagera sig i förskoleutbildning"	"Förskoleutbildning"	"Lärande på en första nivå av organiserad instruktion som är utformad främst för att introducera ett barn till en skolliknande omgivning och förbereda honom/henne för obligatorisk utbildning, såsom att välja en skolmiljö, att delta i förskolans aktiviteter för att skaffa sig färdigheter i förskola eller liknande miljö som förberedelse för att gå vidare till skolan"	""	"att skaffa sig kunskaper och färdigheter i grundläggande inlärning (d130-d159); Kapitel 2 Allmänna uppgifter och krav (d2); att engagera sig i formella relationer (d740); att engagera sig i informell utbildning (d810); att engagera sig i skolutbildning (d820)"	""	""
"d820"	"d810-d839"	"Att engagera sig i skolutbildning"	"Skolutbildning"	"Att ha tillgång till skola, att engagera sig i det ansvar och de privilegier som hör skolan till, lärande av kursmaterial, ämnen och andra krav i primära och sekundära utbildningsprogram (grundskola och gymnasial skola) inklusive att gå i skolan regelbundet, att arbeta tillsammans med andra elever, att följa lärares anvisningar, att organisera sina studier och genomföra läxor och andra uppgifter och att gå vidare till fortsatta studier och utbildning"	""	"att skaffa sig kunskaper och färdigheter i grundläggande inlärning (d130-d159); att tillämpa kunskap (d160-d179); att engagera sig i formella relationer (d740); att engagera sig i informell utbildning (d810); att engagera sig i högre utbildning (d830)"	""	""
"d825"	"d810-d839"	"Att engagera sig i yrkesutbildning"	"Yrkesutbildning"	"Att engagera sig i alla aktiviteter som ingår i ett yrkesutbildningsprogram och lärande av kursmaterial som förberedelse för anställning i handel, industri eller annat yrke"	""	""	""	""
"d830"	"d810-d839"	"Att engagera sig i högre utbildning"	"Högre utbildning"	"Att engagera sig i aktiviteter inom högre utbildning vid universitet och högskola eller annan yrkesutbildning och att lära alla aspekter av de kurskrav som gäller för att få examen eller annat intyg, såsom att fullfölja en universitetsutbildning till kandidat- eller magisternivå, genomgå läkarutbildning eller annan professionell yrkesutbildning"	""	"att tillämpa kunskap (d160-d179); Kapitel 2 Att hantera allmänna uppgifter och krav (d2); att engagera sig i formella relationer (d740); att engagera sig i skolutbildning (d820)"	""	""
"d835"	"d810-d839"	"Att engagera sig i livet kring utbildning"	"Livet kring utbildning"	"Att engagera sig i livet på utbildningsinstitutioner, såsom att engagera sig i skol- och universitetsverksamheter inklusive: klubbar, idrottssektioner, relaterade samhällsorgan (t.ex. skolråd) och andra institutionellt organiserade initiativ som inte ingår i läroplanen"	""	"att engagera sig i skolutbildning (d820); att engagera sig i högre utbildning (d830)"	""	""
"d838"	"d810-d839"	"Att engagera sig i utbildning, annan specificerad"	""	""	""	""	""	""
"d839"	"d810-d839"	"Att engagera sig i utbildning, ospecificerad"	""	""	""	""	""	""
"d840"	"d840-d859"	"Att engagera sig i lärlingskap (arbetsförberedelse)"	"Lärlingskap (arbetsförberedelse)"	"Att engagera sig i program som innebär att förbereda sig för anställning såsom att genomföra uppgifter som krävs i lärlingskap, praktiktjänst och traineetjänst"	""	"att engagera sig i yrkesutbildning (d825)"	""	""
"d840-d859"	"d8"	"Att engagera sig i arbete och sysselsättning (d840-d859)"	""	""	""	""	""	""
"d845"	"d840-d859"	"Att skaffa, behålla och sluta ett arbete"	"Skaffa, behålla och sluta ett arbete"	"Att söka, finna och välja sysselsättning, anställas och acceptera anställning, bibehålla och avancera i ett arbete, affärsrörelse, yrke eller profession och att på ett lämpligt sätt sluta ett arbete"	"att söka arbete, att förbereda en meritförteckning eller curriculum vitae; att ta kontakt med arbetsgivare och förbereda intervjuer; att behålla ett arbete; att kontrollera sitt eget genomförande i sitt eget arbete och att säga upp sig och avsluta ett arbete"	""	""	""
"d8450"	"d845"	"Att söka anställning"	"Söka anställning"	"Att hitta och välja ett arbete i en affärsrörelse, profession eller annat slag av anställning och att genomföra de uppgifter som krävs för att bli anställd såsom att komma till arbetsplatsen eller delta i en anställningsintervju"	""	""	""	""
"d8451"	"d845"	"Att behålla ett arbete"	"Behålla ett arbete"	"Att genomföra arbetsrelaterade uppgifter för att behålla ett yrke, affärsrörelse, profession eller annat slag av anställning och att befordras eller på annat sätt avancera i arbetet"	""	""	""	""
"d8452"	"d845"	"Att sluta ett arbete"	"Sluta ett arbete"	"Att på ett lämpligt sätt lämna eller avsluta en anställning"	""	""	""	""
"d8458"	"d845"	"Att skaffa, behålla och sluta ett arbete, annat specificerat"	""	""	""	""	""	""
"d8459"	"d845"	"Att skaffa, behålla och sluta ett arbete, ospecificerat"	""	""	""	""	""	""
"d850"	"d840-d859"	"Att engagera sig i betald sysselsättning"	"Betald sysselsättning"	"Att som anställd engagera sig i alla aspekter av ett arbete som t.ex. ett yrke, affärsrörelse, profession eller annan form av betald sysselsättning på heltid eller deltid eller som egen företagare, såsom att söka anställning och få ett arbete, göra de uppgifter som krävs på arbetet, vara på arbetet under den tid som krävs, handleda andra medarbetare eller bli handledd och att genomföra de nödvändiga uppgifterna ensam eller i grupp"	"att engagera sig i egen företagsamhet, deltids- eller heltidssysselsättning"	"Kapitel 2 Att hantera allmänna uppgifter och krav (d2); att engagera sig i obetald sysselsättning (d855); att engagera sig i arbete och sysselsättning, annan specificerad eller ospecificerad (d859)"	""	""
"d8500"	"d850"	"Att engagera sig i arbete som egen företagare"	"Arbete som egen företagare"	"Att engagera sig i betald sysselsättning, som har sökts eller skapats av personen eller på uppdrag av andra som t.ex. att säsongsarbeta, att arbeta som freelanceförfattare eller konsult, att arbeta med kortvarigt kontrakt, att arbeta som artist eller hantverkare eller att äga och driva en affär eller annan verksamhet"	""	"att engagera sig i hel- och deltidssysselsättning (d8501, d8502)"	""	""
"d8501"	"d850"	"Att engagera sig i deltidssysselsättning"	"Deltidssysselsättning"	"Att som anställd engagera sig i alla aspekter av betalt deltidsarbete som t.ex. att söka anställning och få ett arbete, att göra de uppgifter som krävs i arbetet, att vara närvarande under den tid som krävs, att handleda andra medarbetare eller att bli handledd och att genomföra erforderliga uppgifter ensam eller i grupp"	""	"att engagera sig i arbete som egen företagare (d8500); att engagera sig i heltidssysselsättning (d8502)"	""	""
"d8502"	"d850"	"Att engagera sig i heltidssysselsättning"	"Heltidssysselsättning"	"Att som anställd engagera sig i alla aspekter av betald sysselsättning på heltid såsom att söka anställning och få ett arbete, att göra de uppgifter som arbetet kräver, att vara närvarande under tid som krävs, att handleda andra medarbetare eller att bli handledd samt att genomföra erforderliga uppgifter ensam eller i grupp"	""	"att engagera sig i arbete som egen företagare (d8500; att engagera sig i deltidssysselsättning (d8501))"	""	""
"d8508"	"d850"	"att engagera sig i betald sysselsättning, annan specificerad"	""	""	""	""	""	""
"d8509"	"d850"	"Att engagera sig i betald sysselsättning, ospecificerad"	""	""	""	""	""	""
"d855"	"d840-d859"	"Att engagera sig i obetald sysselsättning"	"Obetald sysselsättning"	"Att engagera sig i alla aspekter av ett obetalt arbete på heltid eller deltid inklusive organiserad sysselsättning, att göra de uppgifter som krävs på arbetet, att vara närvarande under den tid som krävs, att handleda andra medarbetare och att bli handledd samt att genomföra de nödvändiga uppgifterna ensam eller i grupp, såsom frivilligt arbete, välgörenhetsarbete, oavlönat samhällsarbete eller i en religiös grupp samt oavlönat hemarbete"	""	"Kapitel 2 Allmänna uppgifter och krav (d2); Kapitel 6 Hemliv (d6); att engagera sig i betald sysselsättning (d850); att engagera sig i arbete och sysselsättning, annat specificerat och ospecificerat (d859); att engagera sig i samhällsgemenskap (d910); att engagera sig i rekreation och fritid (d920)"	""	""
"d859"	"d840-d859"	"Att engagera sig i arbete och sysselsättning, annat specificerat och ospecificerat"	""	""	""	""	""	""
"d860"	"d860-d879"	"Att engagera sig i grundläggande ekonomiska transaktioner"	"Grundläggande ekonomiska transaktioner"	"Att engagera sig i varje form av enkel ekonomisk transaktion såsom att använda pengar för att köpa mat eller idka byteshandel med varor och tjänster eller att spara pengar"	""	"att engagera sig i komplexa ekonomiska transaktioner (d865); att engagera sig i ekonomisk självförsörjning (d870)"	""	""
"d860-d879"	"d8"	"Att engagera sig i ekonomiskt liv"	""	""	""	""	""	""
"d865"	"d860-d879"	"Att engagera sig i komplexa ekonomiska transaktioner"	"Komplexa ekonomiska transaktioner"	"Att engagera sig i någon form av komplexa ekonomiska transaktioner som innefattar utbyte av kapital eller egendom och skapande av ekonomisk vinst eller värde såsom att köpa en affär, fabrik eller utrustning, att bibehålla ett bankkonto, att bedriva handel"	""	"att engagera sig i grundläggande ekonomiska transaktioner (d860); att engagera sig i ekonomisk självförsörjning (d870)"	""	""
"d870"	"d860-d879"	"Att engagera sig i ekonomisk självförsörjning"	"Ekonomisk självförsörjning"	"Att ha kontroll över ekonomiska resurser från privata eller offentliga källor för att försäkra sig om ekonomisk trygghet för nuvarande och framtida behov"	"att ha kontroll över egna ekonomiska resurser och allmänna ekonomiska rättigheter"	"att engagera sig i grundläggande ekonomiska transaktioner (d860); att engagera sig i komplexa ekonomiska transaktioner (d870)"	""	""
"d8700"	"d870"	"Att ha kontroll över egna ekonomiska resurser"	"Egna ekonomiska resurser"	"Att ha kontroll över egna eller privata ekonomiska resurser för att försäkra sig om ekonomisk trygghet för nuvarande och framtida behov"	""	""	""	""
"d8701"	"d870"	"Att ha kontroll över allmänna ekonomiska rättigheter"	"Allmänna ekonomiska rättigheter"	"Att ha kontroll över allmänna ekonomiska resurser för att försäkra sig om ekonomisk trygghet för nuvarande och framtida behov"	""	""	""	""
"d8708"	"d870"	"Att engagera sig i ekonomisk självförsörjning, annan specificerad"	""	""	""	""	""	""
"d8709"	"d870"	"Att engagera sig i ekonomisk självförsörjning, ospecificerad"	""	""	""	""	""	""
"d879"	"d860-d879"	"Att engagera sig i ekonomiskt liv, annat specificerat och ospecificerat"	""	""	""	""	""	""
"d898"	"d8"	"Att engagera sig i viktiga livsområden, andra specificerade"	""	""	""	""	""	""
"d899"	"d8"	"Att engagera sig i viktiga livsområden, ospecificerade"	""	""	""	""	""	""
"d9"	"d"	"Att engagera sig i samhällsgemenskap, socialt och medborgerligt liv"	"Samhällsgemenskap, socialt och medborgerligt liv"	"Detta kapitel handlar om de handlingar och uppgifter som krävs för att engagera sig i organiserat socialt liv utanför familjen - i samhällsgemenskap, socialt och medborgerligt liv"	""	""	""	""
"d910"	"d9"	"Att engagera sig i samhällsgemenskap"	"Samhällsgemenskap"	"Att engagera sig i aspekter av samhällsgemenskap såsom att engagera sig i frivilligorganisationer, serviceföreningar eller professionella sociala organisationer"	"att engagera sig i informella och formella sammanslutningar, ceremonier"	"att ha kontakt med okända personer (d730); att engagera sig i formella relationer (d740); att engagera sig i informella relationer (d750); att engagera sig i obetald sysselsättning (d855); att engagera sig i rekreation och fritid (d920); att engagera sig i religion och andlighet (d930); att engagera sig i politiskt liv och medborgarskap (d950)"	""	""
"d9100"	"d910"	"Att engagera sig i informella sammanslutningar"	"Informella sammanslutningar"	"Att engagera sig i sociala eller samhälleliga sammanslutningar som är organiserade av personer med gemensamma intressen som t.ex. lokala föreningar eller etniska grupper"	""	""	""	""
"d9101"	"d910"	"Att engagera sig i formella sammanslutningar"	"Formella sammanslutningar"	"Att engagera sig i professionella eller andra särskilda sällskap såsom sammanslutningar av advokater, läkare eller akademiker"	""	""	""	""
"d9102"	"d910"	"Att engagera sig i ceremonier"	"Ceremonier"	"Att engagera sig i icke-religiösa riter eller sociala ceremonier som t.ex. giftermål, begravningar eller invigningsceremonier"	""	""	""	""
"d9108"	"d910"	"Att engagera sig i samhällsgemenskap, annan specificerad"	""	""	""	""	""	""
"d9109"	"d910"	"Att engagera sig i samhällsgemenskap, ospecificerad"	""	""	""	""	""	""
"d920"	"d9"	"Att engagera sig i rekreation och fritid"	"Rekreation och fritid"	"Att vara involverad i någon form av lek eller fritidsaktivitet som t.ex. informell eller organiserad lek, spel och sport, program för fysisk träning, avslappning, nöje eller tidsfördriv, att gå på konstutställningar, museer, bio eller teater, att engagera sig i hobbys, att läsa och sjunga för nöjes skull, att spela musikinstrument, sightseeing, turism och resor för nöjes skull"	"att leka och spela, att engagera sig i sport, konst och kultur, hobbys och umgänge"	"att läsa (d166); att sjunga (d332); att rida på djur för transport (d480); att engagera sig betald och obetald sysselsättning (d850 och d855); att engagera sig i religion och andlighet (d930); att engagera sig i politiskt liv och medborgarskap (d950)"	""	""
"d9200"	"d920"	"Att leka och spela"	"Leka och spela"	"Att engagera sig i spel med regler eller i ostrukturerade eller oorganiserade spel och spontan fritidsverksamhet såsom att spela schack eller kort eller att leka som barn"	"att engagera sig i ensamlek, åskådarlek, parallell lek och lek tillsammans med andra"	""	""	""
"d92000"	"d9200"	"Att engagera sig i ensamlek."	"Ensamlek"	"Att på egen hand målmedvetet engagera sig i aktiviteter med föremål, leksaker, material eller spel"	""	""	""	""
